Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-01T23:00:00Z London,100,2.291666636864344,64.75500106811523,39.19666703542074,70
2026-01-02T00:00:00Z London,0,2.4666666388511658,64.71333281199138,39.60083293914795,80
2026-01-02T01:00:00Z London,100,2.4416666626930237,65.27083269755046,39.514166831970215,80
2026-01-02T02:00:00Z London,100,2.3416666785875955,65.37833340962727,39.49916648864746,80
2026-01-02T03:00:00Z London,0,2.491666634877523,64.93583170572917,39.50500011444092,80
2026-01-02T04:00:00Z London,100,2.4666666785875955,65.17499987284343,39.612500508626304,80
2026-01-02T05:00:00Z London,100,2.483333299557368,65.4341672261556,39.46500015258789,90
2026-01-02T06:00:00Z London,100,2.4916666547457376,65.58499908447266,39.42583306630453,80
2026-01-02T07:00:00Z London,0,2.616666634877523,65.27666664123535,39.30083338419596,100
2026-01-02T08:00:00Z London,100,2.408333351214727,65.06333414713542,39.28249899546305,80
2026-01-02T09:00:00Z London,100,2.4583333333333335,65.26666577657063,39.402500788370766,80
2026-01-02T10:00:00Z London,100,2.474999984105428,64.87249978383382,39.418332735697426,90
2026-01-02T11:00:00Z London,0,2.3666666547457376,65.31499989827473,39.37333297729492,80
2026-01-02T12:00:00Z London,100,2.4249999721844993,64.40166600545247,39.1366662979126,80
2026-01-02T13:00:00Z London,100,2.299999992052714,64.81833330790202,39.423333485921226,70
2026-01-02T14:00:00Z London,0,2.325000007947286,64.95500055948894,39.12333329518636,90
2026-01-02T15:00:00Z London,100,2.4083333214124045,65.50833320617676,39.31749979654948,80
2026-01-02T16:00:00Z London,100,2.4416666428248086,65.22666613260905,39.08750025431315,80
2026-01-02T17:00:00Z London,0,2.283333331346512,65.41416676839192,39.34250005086263,80
2026-01-02T18:00:00Z London,100,2.575000007947286,65.48000017801921,39.1883331934611,100
2026-01-02T19:00:00Z London,100,2.4333333174387612,65.26333300272624,39.346666971842446,80
2026-01-02T20:00:00Z London,100,2.208333303531011,65.90749804178874,39.38416576385498,70
2026-01-02T21:00:00Z London,0,2.3916666507720947,65.53166643778484,39.39166673024496,80
2026-01-02T22:00:00Z London,100,2.3499999940395355,65.38916714986165,39.38666661580404,80
2026-01-02T23:00:00Z London,100,2.591666658719381,65.68916702270508,39.447499910990395,90
2026-01-03T00:00:00Z London,0,2.358333339293798,65.67916615804036,39.360833168029785,80
2026-01-03T01:00:00Z London,100,2.2666666507720947,65.9008337656657,39.37750053405762,80
2026-01-03T02:00:00Z London,100,2.2083333333333335,65.79416720072429,39.45250002543131,70
2026-01-03T03:00:00Z London,0,2.3416666984558105,65.27999877929688,39.47999986012777,90
2026-01-03T04:00:00Z London,100,2.2916666666666665,65.29833221435547,39.210832277933754,80
2026-01-03T05:00:00Z London,100,2.216666658719381,65.896666208903,39.13083267211914,80
2026-01-03T06:00:00Z London,0,2.183333327372869,65.8083324432373,39.19583320617676,70
2026-01-03T07:00:00Z London,100,2.2916666666666665,65.56500053405762,39.2900005976359,90
2026-01-03T08:00:00Z London,100,2.299999992052714,66.13750012715657,39.30416615804037,90
2026-01-03T09:00:00Z London,0,2.466666658719381,65.54249954223633,39.08333365122477,120
2026-01-03T10:00:00Z London,100,2.2500000099341073,65.85750071207683,39.19333299001058,110
2026-01-03T11:00:00Z London,100,2.1166666448116302,65.33333333333333,39.19166628519694,80
2026-01-03T12:00:00Z London,0,2.2166666289170585,65.5649979909261,39.540000915527344,90
2026-01-03T13:00:00Z London,100,1.8500000139077504,65.29916636149089,39.40333366394043,70
2026-01-03T14:00:00Z London,0,2.033333341280619,64.9250005086263,39.39750067392985,80
2026-01-03T15:00:00Z London,100,1.8999999860922496,64.6633342107137,39.134166399637856,70
2026-01-03T16:00:00Z London,100,2.0499999821186066,64.8433329264323,39.402499516805015,70
2026-01-03T17:00:00Z London,0,1.924999992052714,65.56166712443034,39.41666634877523,80
2026-01-03T18:00:00Z London,100,1.9833333194255829,65.39833323160808,39.30416679382324,80
2026-01-03T19:00:00Z London,0,2.1166666448116302,65.48666508992513,39.387499491373696,80
2026-01-03T20:00:00Z London,100,1.9916666845480602,65.84666633605957,39.53166675567627,80
